step_time,reward,total_stopped,total_wait_time
5.0,0,0,0.0
10.0,1,0,0.0
15.0,3,0,0.0
20.0,4,1,4.0
25.0,5,3,15.0
30.0,6,4,32.0
35.0,6,5,55.0
40.0,8,5,80.0
45.0,9,7,112.0
50.0,10,8,152.0
55.0,8,8,192.0
60.0,6,8,232.0
65.0,8,8,272.0
70.0,9,8,312.0
75.0,7,8,352.0
80.0,7,8,392.0
85.0,9,8,432.0
90.0,10,8,472.0
95.0,6,8,512.0
100.0,5,8,552.0
105.0,8,8,592.0
110.0,10,8,632.0
115.0,8,8,672.0
120.0,9,8,712.0
125.0,9,8,752.0
130.0,7,8,792.0
135.0,5,8,832.0
140.0,5,8,872.0
145.0,8,8,912.0
150.0,10,8,952.0
155.0,11,8,992.0
160.0,13,10,1037.0
165.0,13,11,1088.0
170.0,14,13,1147.0
175.0,15,13,1212.0
180.0,16,14,1280.0
185.0,17,16,1356.0
190.0,20,16,1436.0
195.0,20,17,1521.0
200.0,18,7,1163.0
205.0,9,1,442.0
210.0,3,3,74.0
215.0,8,4,93.0
220.0,12,10,126.0
225.0,10,12,183.0
230.0,12,12,243.0
235.0,12,12,303.0
240.0,13,12,363.0
245.0,11,12,423.0
250.0,13,12,483.0
255.0,14,12,543.0
260.0,9,12,603.0
265.0,9,12,663.0
270.0,12,12,723.0
275.0,13,12,783.0
280.0,11,12,843.0
285.0,12,12,903.0
290.0,13,12,963.0
295.0,11,12,1023.0
300.0,11,12,1083.0
305.0,12,12,1143.0
310.0,14,12,1203.0
315.0,13,12,1263.0
320.0,11,12,1323.0
325.0,12,12,1383.0
330.0,13,12,1443.0
335.0,12,12,1503.0
340.0,9,12,1563.0
345.0,11,12,1623.0
350.0,12,12,1683.0
355.0,12,12,1743.0
360.0,12,13,1804.0
365.0,15,13,1869.0
370.0,16,14,1939.0
375.0,11,6,1621.0
380.0,-2,0,949.0
385.0,-8,0,0.0
390.0,-4,0,0.0
395.0,1,0,0.0
400.0,-1,0,0.0
405.0,-2,0,0.0
410.0,0,0,0.0
415.0,4,0,0.0
420.0,2,0,0.0
425.0,2,2,2.0
430.0,4,3,17.0
435.0,4,3,32.0
440.0,6,4,48.0
445.0,7,4,68.0
450.0,9,6,94.0
455.0,11,8,127.0
460.0,12,11,172.0
465.0,12,11,227.0
470.0,12,12,287.0
475.0,13,12,347.0
480.0,14,13,409.0
485.0,17,14,475.0
490.0,16,15,548.0
495.0,17,16,628.0
500.0,19,18,713.0
505.0,21,19,806.0
