step_time,reward,total_stopped,total_wait_time
10.0,1,0,0.0
20.0,4,1,3.0
30.0,6,4,30.0
40.0,8,6,81.0
50.0,10,8,147.0
60.0,7,8,227.0
70.0,9,8,307.0
80.0,7,8,387.0
90.0,11,8,467.0
100.0,4,8,547.0
110.0,10,8,627.0
120.0,9,8,707.0
130.0,8,8,787.0
140.0,6,8,867.0
150.0,10,8,947.0
160.0,13,10,1033.0
170.0,14,12,1144.0
180.0,16,15,1280.0
190.0,20,17,1436.0
200.0,22,19,1611.0
210.0,26,23,1824.0
220.0,27,26,2075.0
230.0,10,6,812.0
240.0,4,5,197.0
250.0,6,5,180.0
260.0,4,7,248.0
270.0,7,7,318.0
280.0,6,7,388.0
290.0,8,7,458.0
300.0,6,7,528.0
310.0,9,7,598.0
320.0,6,7,668.0
330.0,10,7,738.0
340.0,5,7,808.0
350.0,7,7,878.0
360.0,8,7,948.0
370.0,11,9,1032.0
380.0,13,11,1132.0
390.0,13,12,1248.0
400.0,11,12,1368.0
410.0,13,13,1490.0
420.0,18,14,1622.0
430.0,19,18,1797.0
440.0,21,19,1980.0
450.0,24,21,2183.0
460.0,27,26,2422.0
470.0,27,27,2689.0
480.0,29,28,2962.0
490.0,31,31,3258.0
500.0,31,31,3568.0
510.0,31,31,3878.0
520.0,32,31,4188.0
530.0,30,31,4498.0
540.0,31,31,4808.0
550.0,34,31,5118.0
560.0,30,31,5428.0
570.0,30,32,5744.0
580.0,32,32,6064.0
590.0,32,32,6384.0
600.0,32,32,6704.0
610.0,35,33,7025.0
620.0,36,35,7369.0
630.0,37,36,7726.0
640.0,38,37,8091.0
650.0,37,37,8461.0
660.0,21,11,4673.0
670.0,3,4,1871.0
680.0,19,6,1461.0
690.0,19,16,1569.0
700.0,22,22,1774.0
710.0,26,24,2008.0
720.0,26,26,2266.0
730.0,26,26,2526.0
740.0,26,26,2786.0
750.0,26,26,3046.0
760.0,29,26,3306.0
770.0,24,26,3566.0
780.0,28,26,3826.0
790.0,25,26,4086.0
800.0,27,26,4346.0
810.0,27,26,4606.0
820.0,25,26,4866.0
830.0,29,26,5126.0
840.0,24,26,5386.0
850.0,26,26,5646.0
860.0,25,26,5906.0
870.0,26,26,6166.0
880.0,27,26,6426.0
890.0,31,27,6688.0
900.0,32,31,6980.0
910.0,18,11,4642.0
920.0,8,1,2814.0
930.0,20,9,2844.0
940.0,22,21,3010.0
950.0,22,21,3220.0
960.0,15,6,1864.0
970.0,4,3,177.0
980.0,4,6,189.0
990.0,7,6,249.0
1000.0,3,6,309.0
1010.0,10,7,377.0
1020.0,12,11,470.0
1030.0,17,13,592.0
1040.0,18,17,747.0
1050.0,17,17,917.0
1060.0,16,17,1087.0
1070.0,17,17,1257.0
1080.0,16,17,1427.0
1090.0,18,17,1597.0
1100.0,16,17,1767.0
1110.0,17,17,1937.0
1120.0,15,17,2107.0
1130.0,19,17,2277.0
1140.0,16,17,2447.0
1150.0,18,17,2617.0
1160.0,24,20,2801.0
1170.0,25,24,3022.0
1180.0,26,25,3266.0
1190.0,27,26,3520.0
1200.0,12,3,2477.0
1210.0,5,7,1518.0
1220.0,10,9,1220.0
1230.0,8,10,1320.0
1240.0,10,10,1420.0
1250.0,-3,0,260.0
1260.0,-2,0,0.0
1270.0,2,0,0.0
1280.0,-3,0,0.0
1290.0,0,0,0.0
1300.0,3,0,0.0
1310.0,0,0,0.0
1320.0,1,0,0.0
1330.0,-1,1,2.0
1340.0,2,2,18.0
1350.0,4,2,38.0
1360.0,6,4,67.0
1370.0,-2,1,1.0
1380.0,4,2,17.0
1390.0,-4,0,0.0
1400.0,3,0,0.0
1410.0,5,3,10.0
1420.0,7,5,48.0
1430.0,9,7,107.0
1440.0,12,10,194.0
1450.0,12,12,304.0
1460.0,15,12,424.0
1470.0,18,16,571.0
1480.0,16,16,731.0
1490.0,18,17,893.0
1500.0,20,19,1076.0
1510.0,20,20,1275.0
1520.0,21,20,1475.0
1530.0,22,21,1685.0
1540.0,26,23,1898.0
1550.0,28,26,2145.0
1560.0,29,28,2411.0
1570.0,30,29,2701.0
1580.0,30,29,2991.0
1590.0,30,29,3281.0
1600.0,30,30,3579.0
1610.0,32,32,3888.0
1620.0,33,33,4211.0
1630.0,34,33,4541.0
1640.0,35,34,4879.0
1650.0,35,35,5227.0
1660.0,35,35,5577.0
1670.0,36,35,5927.0
1680.0,35,35,6277.0
1690.0,35,35,6627.0
1700.0,34,35,6977.0
1710.0,35,35,7327.0
1720.0,35,35,7677.0
1730.0,35,35,8027.0
1740.0,36,35,8377.0
1750.0,33,35,8727.0
1760.0,36,35,9077.0
1770.0,34,35,9427.0
1780.0,35,35,9777.0
1790.0,35,35,10127.0
1800.0,35,35,10477.0
1810.0,16,10,6770.0
1820.0,9,1,3568.0
1830.0,19,9,3611.0
1840.0,21,19,3761.0
1850.0,25,23,3974.0
1860.0,26,26,4228.0
1870.0,26,26,4488.0
1880.0,26,26,4748.0
1890.0,27,26,5008.0
1900.0,26,26,5268.0
1910.0,26,26,5528.0
1920.0,28,26,5788.0
1930.0,25,26,6048.0
1940.0,26,26,6308.0
1950.0,28,26,6568.0
1960.0,27,27,6829.0
1970.0,29,29,7111.0
1980.0,32,30,7403.0
1990.0,34,32,7712.0
2000.0,34,34,8048.0
2010.0,36,34,8388.0
2020.0,37,37,8741.0
2030.0,39,37,9111.0
2040.0,41,40,9498.0
2050.0,41,41,9907.0
2060.0,41,41,10317.0
2070.0,41,41,10727.0
2080.0,41,41,11137.0
2090.0,41,41,11547.0
2100.0,42,41,11957.0
2110.0,42,42,12368.0
2120.0,43,43,12797.0
2130.0,45,44,13228.0
2140.0,45,45,13676.0
2150.0,46,45,14126.0
2160.0,47,45,14576.0
2170.0,47,45,15026.0
2180.0,42,45,15476.0
2190.0,45,45,15926.0
2200.0,45,45,16376.0
2210.0,48,45,16826.0
2220.0,42,45,17276.0
2230.0,45,45,17726.0
2240.0,45,45,18176.0
2250.0,45,45,18626.0
2260.0,46,45,19076.0
2270.0,46,45,19526.0
2280.0,45,45,19976.0
2290.0,45,45,20426.0
2300.0,46,45,20876.0
2310.0,44,45,21326.0
2320.0,45,45,21776.0
2330.0,48,46,22233.0
2340.0,48,48,22710.0
2350.0,50,49,23196.0
2360.0,32,19,17789.0
2370.0,19,9,11325.0
2380.0,30,21,11218.0
2390.0,37,33,11497.0
2400.0,37,37,11865.0
2410.0,37,37,12235.0
2420.0,39,37,12605.0
2430.0,36,37,12975.0
2440.0,37,37,13345.0
2450.0,36,37,13715.0
2460.0,42,37,14085.0
2470.0,34,37,14455.0
2480.0,38,37,14825.0
2490.0,37,37,15195.0
2500.0,38,37,15565.0
2510.0,36,37,15935.0
2520.0,38,37,16305.0
2530.0,35,37,16675.0
2540.0,37,37,17045.0
2550.0,37,37,17415.0
2560.0,37,37,17785.0
2570.0,37,37,18155.0
2580.0,37,37,18525.0
2590.0,37,37,18895.0
2600.0,37,37,19265.0
2610.0,37,37,19635.0
2620.0,37,37,20005.0
2630.0,37,37,20375.0
2640.0,21,12,14537.0
2650.0,13,6,10470.0
2660.0,23,11,10544.0
2670.0,28,23,10722.0
2680.0,29,29,11003.0
2690.0,33,29,11293.0
2700.0,28,30,11592.0
2710.0,30,30,11892.0
2720.0,30,30,12192.0
2730.0,31,30,12492.0
2740.0,30,30,12792.0
2750.0,33,30,13092.0
2760.0,26,30,13392.0
2770.0,31,30,13692.0
2780.0,29,30,13992.0
2790.0,32,30,14292.0
2800.0,29,30,14592.0
2810.0,29,30,14892.0
2820.0,30,30,15192.0
2830.0,30,30,15492.0
2840.0,30,30,15792.0
2850.0,30,30,16092.0
2860.0,30,30,16392.0
2870.0,31,30,16692.0
2880.0,30,30,16992.0
2890.0,31,30,17292.0
2900.0,33,31,17596.0
2910.0,34,34,17921.0
2920.0,36,35,18264.0
2930.0,36,36,18620.0
2940.0,38,36,18980.0
2950.0,38,38,19352.0
2960.0,39,38,19732.0
2970.0,37,38,20112.0
2980.0,38,38,20492.0
2990.0,40,38,20872.0
3000.0,37,38,21252.0
3010.0,19,10,14080.0
3020.0,4,2,7538.0
3030.0,20,7,7211.0
3040.0,29,22,7366.0
3050.0,30,29,7646.0
3060.0,31,30,7941.0
3070.0,33,31,8244.0
3080.0,34,33,8566.0
3090.0,32,33,8896.0
3100.0,35,33,9226.0
3110.0,30,33,9556.0
3120.0,34,33,9886.0
3130.0,33,33,10216.0
3140.0,32,33,10546.0
3150.0,33,33,10876.0
3160.0,33,33,11206.0
3170.0,35,33,11536.0
3180.0,34,33,11866.0
3190.0,33,33,12196.0
3200.0,33,33,12526.0
3210.0,35,33,12856.0
3220.0,33,33,13186.0
3230.0,30,33,13516.0
3240.0,33,33,13846.0
3250.0,33,33,14176.0
3260.0,33,33,14506.0
3270.0,33,33,14836.0
3280.0,34,33,15166.0
3290.0,34,33,15496.0
3300.0,32,33,15826.0
3310.0,34,33,16156.0
3320.0,34,34,16491.0
3330.0,35,34,16831.0
3340.0,35,35,17180.0
3350.0,39,37,17532.0
3360.0,39,39,17911.0
3370.0,41,39,18301.0
3380.0,41,40,18701.0
3390.0,39,40,19101.0
3400.0,39,40,19501.0
3410.0,41,40,19901.0
3420.0,40,40,20301.0
3430.0,40,40,20701.0
3440.0,40,40,21101.0
3450.0,39,40,21501.0
3460.0,40,40,21901.0
3470.0,40,40,22301.0
3480.0,40,40,22701.0
3490.0,41,40,23101.0
3500.0,43,40,23501.0
3510.0,38,40,23901.0
3520.0,38,40,24301.0
3530.0,41,40,24701.0
3540.0,40,40,25101.0
3550.0,40,40,25501.0
3560.0,41,40,25901.0
3570.0,43,40,26301.0
3580.0,38,40,26701.0
3590.0,39,40,27101.0
3600.0,23,12,18755.0
3610.0,7,8,13741.0
3620.0,24,12,13282.0
3630.0,29,23,13463.0
3640.0,30,29,13741.0
3650.0,31,30,14039.0
3660.0,32,31,14343.0
3670.0,32,32,14661.0
3680.0,35,33,14983.0
3690.0,38,35,15327.0
3700.0,33,35,15677.0
3710.0,35,35,16027.0
3720.0,35,35,16377.0
3730.0,34,35,16727.0
3740.0,35,35,17077.0
3750.0,35,35,17427.0
3760.0,35,35,17777.0
3770.0,34,35,18127.0
3780.0,35,35,18477.0
3790.0,38,35,18827.0
3800.0,33,35,19177.0
3810.0,36,35,19527.0
3820.0,33,35,19877.0
3830.0,35,35,20227.0
3840.0,35,35,20577.0
3850.0,37,35,20927.0
3860.0,33,35,21277.0
3870.0,37,35,21627.0
3880.0,18,13,15834.0
3890.0,17,7,11972.0
3900.0,15,5,4975.0
3910.0,19,8,4977.0
3920.0,27,21,5130.0
3930.0,31,28,5399.0
3940.0,32,32,5700.0
3950.0,32,32,6020.0
3960.0,32,32,6340.0
3970.0,33,32,6660.0
3980.0,33,33,6986.0
3990.0,36,33,7316.0
4000.0,34,34,7656.0
4010.0,32,34,7996.0
4020.0,34,34,8336.0
4030.0,35,34,8676.0
4040.0,35,34,9016.0
4050.0,32,34,9356.0
4060.0,33,34,9696.0
4070.0,34,34,10036.0
4080.0,21,13,7924.0
4090.0,10,2,5672.0
4100.0,16,5,5535.0
4110.0,26,18,5496.0
4120.0,26,26,5736.0
4130.0,14,10,1811.0
4140.0,8,0,558.0
4150.0,21,9,601.0
4160.0,26,21,753.0
4170.0,24,26,1007.0
4180.0,26,26,1267.0
4190.0,25,26,1527.0
4200.0,27,26,1787.0
4210.0,28,26,2047.0
4220.0,28,28,2319.0
4230.0,28,28,2599.0
4240.0,19,10,1765.0
4250.0,11,4,858.0
4260.0,16,7,775.0
4270.0,25,18,905.0
4280.0,26,26,1147.0
4290.0,26,26,1407.0
4300.0,18,10,872.0
4310.0,9,2,328.0
4320.0,15,7,348.0
4330.0,18,17,489.0
4340.0,19,18,666.0
4350.0,20,19,855.0
4360.0,21,21,1056.0
4370.0,23,21,1266.0
4380.0,24,23,1492.0
4390.0,26,26,1738.0
4400.0,27,26,1998.0
4410.0,24,26,2258.0
4420.0,29,26,2518.0
4430.0,22,26,2778.0
4440.0,29,26,3038.0
4450.0,27,26,3298.0
4460.0,25,26,3558.0
4470.0,28,26,3818.0
4480.0,29,28,4084.0
4490.0,30,29,4365.0
4500.0,31,30,4656.0
4510.0,32,31,4960.0
4520.0,33,33,5278.0
4530.0,35,33,5608.0
4540.0,37,35,5950.0
