step_time,reward,total_stopped,total_wait_time
5.0,1.0,0,0.0
10.0,1.0,0,0.0
15.0,1.0,0,0.0
20.0,1.0,0,0.0
25.0,1.0,0,0.0
30.0,1.0,0,0.0
35.0,1.0,0,0.0
40.0,1.0,0,0.0
45.0,1.0,0,0.0
50.0,1.0,0,0.0
55.0,1.0,0,0.0
60.0,1.0,0,0.0
65.0,1.0,0,0.0
70.0,1.0,0,0.0
75.0,1.0,0,0.0
80.0,1.0,0,0.0
85.0,1.0,0,0.0
90.0,1.0,0,0.0
95.0,0.8374560690439189,0,0.0
100.0,0.00016649517732124437,1,2.0
105.0,0.0,1,7.0
110.0,0.0,1,12.0
115.0,0.0,1,17.0
120.0,0.0,1,22.0
125.0,0.0,1,27.0
130.0,0.0,1,32.0
135.0,0.48614240026660477,1,37.0
140.0,0.47507738783054715,1,42.0
145.0,0.002224511380191995,2,49.0
150.0,0.0,2,59.0
155.0,0.0,2,69.0
160.0,0.0,2,79.0
165.0,0.0,2,89.0
170.0,0.0,2,99.0
175.0,0.0,2,109.0
180.0,0.0,2,119.0
185.0,0.0,2,129.0
190.0,0.0,2,139.0
195.0,0.0,2,149.0
200.0,0.0,2,159.0
205.0,0.0,2,169.0
210.0,0.0,2,179.0
215.0,0.0,2,189.0
220.0,0.0,2,199.0
225.0,0.0,2,209.0
230.0,0.0,2,219.0
235.0,0.0,2,229.0
240.0,0.0,2,239.0
245.0,0.0,2,249.0
250.0,0.0,2,259.0
255.0,0.1885318183229879,0,110.0
260.0,1.0,0,0.0
265.0,1.0,0,0.0
270.0,1.0,0,0.0
275.0,1.0,0,0.0
280.0,1.0,0,0.0
285.0,1.0,0,0.0
290.0,1.0,0,0.0
295.0,1.0,0,0.0
300.0,1.0,0,0.0
305.0,1.0,0,0.0
310.0,1.0,0,0.0
315.0,1.0,0,0.0
320.0,1.0,0,0.0
325.0,1.0,0,0.0
330.0,1.0,0,0.0
335.0,1.0,0,0.0
340.0,1.0,0,0.0
345.0,1.0,0,0.0
350.0,1.0,0,0.0
355.0,1.0,0,0.0
360.0,1.0,0,0.0
365.0,1.0,0,0.0
370.0,1.0,0,0.0
375.0,1.0,0,0.0
380.0,1.0,0,0.0
385.0,1.0,0,0.0
390.0,1.0,0,0.0
395.0,1.0,0,0.0
400.0,0.9552023424895065,0,0.0
405.0,0.5691090584501034,0,0.0
410.0,3.0058561414711817e-05,1,3.0
415.0,0.0,1,8.0
420.0,0.0,1,13.0
425.0,0.0,1,18.0
430.0,0.0,1,23.0
435.0,0.0,1,28.0
440.0,0.4663254481242714,1,33.0
445.0,0.48966983296998295,1,38.0
450.0,0.4747631555721722,1,43.0
455.0,0.0,1,48.0
460.0,0.0,1,53.0
465.0,0.0,1,58.0
470.0,0.0,1,63.0
475.0,0.9970866853950452,0,0.0
480.0,0.5056132631935603,0,0.0
485.0,0.4943527586009782,1,5.0
490.0,1.0,0,0.0
495.0,0.9279877785131964,0,0.0
500.0,0.9825831124320938,0,0.0
505.0,1.0,0,0.0
510.0,1.0,0,0.0
515.0,1.0,0,0.0
520.0,1.0,0,0.0
525.0,1.0,0,0.0
530.0,1.0,0,0.0
535.0,1.0,0,0.0
540.0,0.9955596048185407,0,0.0
545.0,1.0,0,0.0
550.0,1.0,0,0.0
555.0,1.0,0,0.0
560.0,1.0,0,0.0
565.0,1.0,0,0.0
570.0,1.0,0,0.0
575.0,1.0,0,0.0
580.0,1.0,0,0.0
585.0,1.0,0,0.0
590.0,1.0,0,0.0
595.0,1.0,0,0.0
600.0,1.0,0,0.0
605.0,1.0,0,0.0
610.0,0.9339203701339921,0,0.0
615.0,0.512763073012142,0,0.0
620.0,1.708586811632764e-05,1,4.0
625.0,0.0,1,9.0
630.0,0.0,1,14.0
635.0,0.0,1,19.0
640.0,0.5,1,24.0
645.0,0.4915582702651283,1,29.0
650.0,0.0,1,34.0
655.0,0.496789197923452,1,39.0
660.0,0.4855973465940232,1,44.0
665.0,0.0,1,49.0
670.0,0.0,1,54.0
675.0,0.0,1,59.0
680.0,0.0,1,64.0
685.0,0.0,1,69.0
690.0,0.0,1,74.0
695.0,0.0,1,79.0
700.0,0.0,1,84.0
705.0,0.0,1,89.0
710.0,0.0,1,94.0
715.0,0.0,1,99.0
720.0,0.0,1,104.0
725.0,0.0,1,109.0
730.0,0.0,1,114.0
735.0,0.0,1,119.0
740.0,0.0,1,124.0
745.0,1.0,0,0.0
750.0,1.0,0,0.0
755.0,1.0,0,0.0
760.0,1.0,0,0.0
765.0,1.0,0,0.0
770.0,0.9652155881570533,0,0.0
775.0,1.0,0,0.0
780.0,1.0,0,0.0
785.0,1.0,0,0.0
790.0,1.0,0,0.0
795.0,1.0,0,0.0
800.0,1.0,0,0.0
805.0,1.0,0,0.0
810.0,1.0,0,0.0
815.0,1.0,0,0.0
820.0,1.0,0,0.0
825.0,1.0,0,0.0
830.0,1.0,0,0.0
835.0,0.9485200454650007,0,0.0
840.0,1.0,0,0.0
845.0,1.0,0,0.0
850.0,1.0,0,0.0
855.0,0.9925337126379093,0,0.0
860.0,0.9665085712099608,0,0.0
865.0,0.9065656666398788,0,0.0
870.0,1.0,0,0.0
875.0,0.9984157187885453,0,0.0
880.0,1.0,0,0.0
885.0,1.0,0,0.0
890.0,0.995148828444794,0,0.0
895.0,0.9488822041062961,0,0.0
900.0,0.0013923381420859135,1,1.0
905.0,0.0,1,6.0
910.0,0.0,1,11.0
915.0,0.0,1,16.0
920.0,0.0,1,21.0
925.0,0.0,1,26.0
930.0,0.0,1,31.0
935.0,0.0,1,36.0
940.0,0.0,1,41.0
945.0,0.0,1,46.0
950.0,0.0,1,51.0
955.0,0.0,1,56.0
960.0,0.0,1,61.0
965.0,0.0,1,66.0
970.0,1.0,0,0.0
975.0,1.0,0,0.0
980.0,1.0,0,0.0
985.0,1.0,0,0.0
